Submission Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Desired Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,"Does Your Hack Need To Stay At Your Current Table? (I.E. Hardware, Vr/Ar Hacks That Are Difficult To Move.) If So, What Table Number Are You At?"
Fast Platform,"",Draft,Pending,Additional info,04/10/2022 07:18:54,"Inspiration

What it does

asdf

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Fast Platform
","",,"Best Moonshot Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp",fastapi,,University of Maryland - College Park,0,""
TerraPinned,https://bitcamp2022.devpost.com/submissions/320903-terrapinned,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 07:23:23,"Inspiration

One night last semester, my groupmates and I were deep in the thralls of a CMSC351 homework assignment. As we computer scientists are wont to do, we decided to take a break. We wound up playing a game of GeoGuessr, and after we spent an hour tracing highways through rural Norway, searching for our location, we joked about makng a version of this game for the campus where we spend all of our time. Unfortunately, we didn't have much time to give this project the love and attention it deserved, and so when BitCamp sign-ups opened, we knew what we had to do. 

What it does

TerraPinned is a simple, but surprisingly in depth game. When you press play, you are virtually transported to an iconic (or at least iconic in our approximation) location on the University of Maryland's fine campus. You are given a 360 degree view, and tasked with locating where exactly you are. You enter your location by dragging the pin on the map to the appropriate location.  When you are confident in your answer, you can lock in your answer and you will be rewarded with points appropriate to how close/far you were. 

How we built it

We used Node.js and React to build a functional website. We used Github to version control, and Python for various simple scripts throughout. We also used the Google Maps API for the map components and Panolens for the 360 virtual camera. 

Challenges we ran into

None of us are experienced with React, Node.js, or even Javascript. As with any learning process we learned through failure. Lots and lots of failure :). We ran in to issues constantly, about concepts that normally we wouldn't find very challenging. For example, we spent a few hours stuck on accessing a JSON file in Javascript. Moreover, we struggled with where to host our project. We registered a website with Domain.com, and served it through a Github Page, but we had a lot of difficulty dealing with DNS connections and size constraints. 

Accomplishments that we're proud of

Our goal was to learn something new and make something fun, and we feel that we succeeded on both accounts. We all are now intimately more familiar with the Javascript web development platform, as well as HTML and version control. We also made a project that we are proud of, that met the criteria we wanted to hit. We're also proud that we didn't give up. We worked all day and all night, and though we got discouraged, we powered through. 

What we learned

We learned intermediate web development with Javascript and React. We learned how to divide work to suit each of our skills. Finally, we learned how to persevere, and that though sometimes you can feel discouraged, the joy of succeeding at something difficult is unparalleled.

What's next for TerraPinned

Ideally, we'd like to make the interface a little cleaner. We'd like to add loading screens and a nicer UI. Moreover, we'd like to add more locations, and maybe some vertical functionality. Currently, the game doesn't account for height (I.E. the fifth floor vs the second), and we'd like to change this.
",https://github.com/AmanSheth/TerraPinned,,"Best Razzle Dazzle Hack - Bitcamp, Best Domain Name from Domain.com - MLH, Best UI/UX - Bitcamp ","react, javascript, node.js, html5, python, github, domain.com",,University of Maryland - College Park,3,No
Color Blindness Simulator,https://bitcamp2022.devpost.com/submissions/320920-color-blindness-simulator,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 07:49:21,"Inspiration

I tend to get a lot of shower thoughts out of nowhere, and this idea to create a virtual experience that replicates color blindness has been in my head for a while. With a bit of research, I learned that even today, there are accessibility problems in video games regarding color settings and those with color blindness. This can lead to frustrating experiences or games that are straight-up unable to be played.

What it does

Using simple controls through WASD and the mouse, you can navigate the terrain and toggle different lenses that replicate color blindness. 

How I built it

Using Unity, I downloaded a handful of packages to helped me properly create this experience. From texture packs to environment assets, to tools for terrain sculpting and camera filters. I created a lot of the C# and C++ scripts for the project myself, but followed some YouTube tutorials for scripts for things I was unfamiliar with.

Challenges I ran into

Initially, I planned to implement this project for VR, but I wasn't able to find anyone here at Bitcamp who had the hardware or expertise in working with VR development. Then, I decided to do an AR game, but unfortunately, Unity on Windows is incompatible with my iPhone, so I then decided to make the switch to a simple 3D game. In terms of developing my project, the biggest obstacle I had to overcome was figuring out how post-processing works. It used a ton of new scripting I was completely unfamiliar with, so I had to resort to web tutorials and videos for help.

Accomplishments that I'm proud of

I'm proud of how well I was able to get the character and camera to control, as well as how nice and clean the level I created is. I'm also proud of how I was able to pick up how to use new tools that I had never used before.

What I learned

Unity's rendering engine is a lot stronger than I thought, so creating lenses and textures for my game proved to be a challenge. Now that I'm introduced to post-processing, I can take what I learned and use it on some of my personal hobby projects with Unity.

What's next for Color Blindness Simulator

I'm planning on getting this project to work fully, as well as possibly adding more features such as interactable games that simulate the difficulty of navigating things with color blindness. 
",https://github.com/dino-tendies/Color-Blindness-Simulator,,Best Social Good Hack - Bitcamp,"unity, c#, c++, c, github, visual-studio-code",,"",0,M
Untitled,"",Draft,Pending,Manage team,04/10/2022 07:54:36,"","",,"","",,University of Maryland - Baltimore County,0,""
Bonfire,https://bitcamp2022.devpost.com/submissions/320941-bonfire,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:06:07,"Inspiration

We envision this app to be a great way to supplement group interactions back into our daily lives. Face it, the pandemic turned many of us into hermits. We also picture this being a great resource for students, from freshman to seniors, on campus to meet new people.

What it does

Our app runs completely off of Bluetooth, meaning No internet? No Problem! This also limits new interactions to line-of-sight communication, establishing the important face-to-name bonding. We are currently able to see currently hosted bonfires, join them, view the connected users, and share messages amongst the Bonfire!

How we built it

We built this app in Android Studio using Google Nearby Connections API.

Challenges we ran into

Many hours were spent figuring out the Bluetooth communications, this left a lot to be desired in terms of user and group customization. Our hacking also began in the afternoon on Saturday, we've never had so much caffeine!

Accomplishments that we're proud of

With this basically being our first time developing an app, we are very excited with what we were able to produce in such a short amount of time.

What we learned

We learned a lot in terms of of app development, and with this app relying solely on Bluetooth adapters, we also learned how important is to have plenty of hardware to test with! We also learned that coming in person together as a team resulted in an amazing time, and were able to accomplish so much more than if we were remote. Hey, that sounds like a Bonfire!

What's next for Bonfire

We plan to hit the ground running with this app, once we take a much needed rest after this Hackathon. We want to implement lots of modern user profile customization features to provide a polished experience when the app reaches the hands of the users. 
","",,"Best Social Good Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp",google-nearby-connections,,"University of Maryland - Baltimore, University of Maryland - Baltimore County",2,"Row B, Right in front of the SoKat booth"
DripBot,https://bitcamp2022.devpost.com/submissions/320942-dripbot,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:06:49,"Inspiration

Remembering to drink the required amount of water can be difficult sometimes, especially for busy college students. So, we created DripBot to remind users to stay hydrated.

What it does

DripBot is a Discord Bot that sends periodic messages to the user, reminding them to drink water. The bot asks users for their age and weight to determine the required number of ounces to drink. Next, the bot asks users when they wake up and go to bed, which determines the intervals at which the messages will be sent. If users don't respond to the message within time, the bot sends a second message.

How we built it

We used Python to create this project. Using the discord.py API, we coded the entirety of the project on the Replit IDE. To send text messages, we utilized the Twilio API.

Challenges we ran into

We ran into some challenges when we tried sending text messages to the user's phone through Twilio. We also had some trouble getting the bot to send scheduled messages at the correct time and not send messages in an infinite loop.

Accomplishments that we're proud of

We're proud of the bot's text message feature and the ability of the bot to send messages at various intervals, depending on the user's wake-up time and bedtime.

What we learned

We learned how to create a bot on Discord and use Twilio for the first time.

What's next for DripBot

We would like to improve DripBot by adding more personalized questions for the user to determine water intake because it depends on a variety of factors, not just weight and age. Eventually, we would like to expand this app to be a general health reminder bot, reminding users to take their medication, go to sleep, etc.
",https://replit.com/join/asxuputhrg-pramatik,,"Most Creative Use of Twilio - MLH, Best Social Good Hack - Bitcamp, Best First Time Hack - Bitcamp","python, discord.py, twilio",,"University of Maryland - College Park, University of Maryland - University College",3,""
Morse Code Blinking Translator,https://bitcamp2022.devpost.com/submissions/320947-morse-code-blinking-translator,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:17:07,"Inspiration

Our inspiration was from Spy movies and events that had secret morse code messages within the blinks of the person.

What it does

Based on the blinks, the software is able to turn those blinks into english letters through morse code.

How we built it

We built it using Python using the cvzone and cv2 library extensions that added in facial detection. Based on the distance between the top eyelid and bottom eyelid would determine a blink, and the timing between each blink will determine if it's a short blink or long blink,

Challenges we ran into

Some challenges we ran into were to having the proper library extensions to make it work. Some of us did not have the proper hardware or software in order to download the libraries we needed. Another issue was the facial detection was very sensitive and recording blinks were not accurate at all.

Accomplishments that we're proud of

We are proud that we were able to make the sensitivity better and more accurate to count blinks. We were also able to optimize it better later on.

What we learned

We learned much more about facial detection and how it works and the obstacles we would run into if we would continue this project. It gave us a better sense of the strengths and weaknesses of facial detection.

What's next for Morse Code Blinking Translator

The next steps for the project is to make it more accurate at different distances and different angles. 
",https://github.com/tklaus-git/morse_code_blink/,https://youtu.be/beUByo-Jm8k,Best First Time Hack - Bitcamp,python,,University of Maryland - College Park,1,no
Venture,https://bitcamp2022.devpost.com/submissions/320950-venture,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:20:19,"Our project was inspired by the theme of this years bitcamp ""Adventure Awaits""! The problem that we have seen in young adults today is that they are excited to go adventure to new places but they are uninformed. Also another problem that they face is even if they know where to go, often they feel scared to go by themselves. We decided to make an app that will allow young adults to see the best events in their area whether its a nightclub having an event, campus party, 5 v 5 basketball game, or a book club. Once you found where you want to go, we will then then use our algorithm based on your interests and what events you have gone to, to determine several options for friends we think you would want to go to the event with. Due to the social isolation and loneliness of Gen-Z post Covid 19, our generation is desperate from a way to help us all reconnect again. No more will young adults sit in their rooms unwillingly on a Friday night without anything to do or someone to spend it with. Introducing our app Venture.

We learned through this project that it is really hard to develop a figma design, and an app in 36 hours. We had to make a design, a backend, and a front end in such little time and it was very hard giving us a reality into what may be in we decide to pursue this in the future.

We built this project using React-Native, PostgreSQL, Django, CockroachDB
Our video was made on expo
We also made a slide on Google Slides

The biggest challenges we faced were on the coding end as we were not able to get as much done as we hoped to
","https://github.com/aidmelvin/bitcamp-venture-frontend, https://docs.google.com/presentation/d/1OXc-114G9cynMVKI8NkTbfSZEUPXXDnx9zplw8d3HWQ/edit#slide=id.p",https://www.youtube.com/shorts/QEJ3a_G4XGE,"Best Web Monetization Project - MLH, Best Use of Data in an Application - Two Six Technologies, Best Moonshot Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best Open Source Hack - Bitcamp, Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp , Best Use of CockroachDB Serverless - Cockroach Labs","python, javascript, django, postgresql, cockroachdb, react-native",,"University of Maryland - College Park, University of Maryland - Baltimore County",3,No we can move anywhere
Bitcamp #1,https://bitcamp2022.devpost.com/submissions/320951-bitcamp-1,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:22:58,"Inspiration

I have always been obsessed with music, and many times I'll hear of a song I want to listen to but I don't have a way to remember to listen to it later.

What it does

Enables the user to add songs to a list that they want to listen to later, and remove the songs from the list as they listen to it.

How I built it

Got source code from to-do list and changed the functionality, design, and purpose.

Challenges I ran into

Getting the listener for the clear listened button to work.

Accomplishments that I'm proud of

Learning how to code in HTML and JavaScript.

What I learned

I learned what it takes to make a website using HTML and how to add buttons using JavaScript.

What's next for Bitcamp #1

Add more functionality to take the user to Spotify to listen to each song.
",https://www.dropbox.com/sh/ednv7ddm7cvqmfr/AABtEsCvmKlorKpMWIo2WDHWa?dl=0,,"Best Razzle Dazzle Hack - Bitcamp, Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp ","html, javascript, css",,University of Maryland - College Park,0,""
pop-bot,https://bitcamp2022.devpost.com/submissions/320956-pop-bot,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:30:42,"Authored by

Dilan Cruz-Flores,
Raion Fet,
Joshua Ikegwu, and 
Dhruv Rathod

Inspiration

All of us play the game Counter-Strike: Global Offensive together using popflash.site. Sometimes, we would like to know our stats after a game, or we would like to know how well we did compared to someone else that we played with. 

What it does

This Discord bot responds to certain commands done by the user on a Discord server. The user must start by registering their popflash profile to their Discord username by way of the !reg command. Doing so will send their popflash id to our database based in MongoDB. Once the user is registered, the bot will let the user know by way of a Discord message and will in return the user's stats in the form of a Discord message

How we built it

This project was built using javascript on the front and backend. We also used Discord's developer portal in order to create the actual Discord bot and give it the appropriate permissions. 

Challenges we ran into

First and foremost, none of us have coded in javascript before, which was a slight problem seeing as how our entire project depended on us being able to use javascript. Secondly, once we had the Discord bot created via Discord's developer portal, we had trouble getting it to respond properly to our commands. We also had trouble getting Docker to work properly with the database that we were using. 

Accomplishments that we're proud of

We're quite proud of the fact that we managed to get the bot to respond to different commands besides !reg.

What we learned

We learned a lot about javascript! Since it was the first any of us had seen javascript, we learned to rely on each other for help and assistance in case someone else had figured out something we hadn't. We also learned a lot on using a database, which only one of us had worked with.

What's next for pop-bot

We would like to implement many more commands. Some potential ones are:


!compare: By passing two users id's, we could compare the two people's stats

",https://github.com/RaionVAF/bitcamp2022,,"Best Gamification Hack - Bitcamp, Best Open Source Hack - Bitcamp, Best First Time Hack - Bitcamp","mongodb, javascript, docker",,University of Maryland - College Park,2,no
Color Bit Wars,https://bitcamp2022.devpost.com/submissions/320957-color-bit-wars,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:30:47,"Inspiration

Heavily inspired by /r/place, we decided to make a game for Bitcamp intended to pit the color teams against each other and encourage teamwork and cooperation.

What it does

Every few hours, an image is presented and all teams will have their own canvas to try and recreate the image. Every user can place down a pixel of a color they choose, with a cooldown of 5 minutes. However, where you choose to place your pixel can decide which team wins. Users can choose to place down their pixel to help recreate the picture or clean up their team's canvas, or choose to place a random pixel on the other teams' canvases to sabotage their progress. Whichever canvas most closely resembles the image by a certain period of time wins for that period, and another image is shown and the canvases reset.

How we built it

HTML5/CSS/Javascript 

Challenges we ran into

HTML5 Canvas gave us a few mathematical issues involving estimation and forcing input to change by approximating user input coordinates to the nearest acceptable coordinates.

Accomplishments that we're proud of

First javascript project

What's next for Color Bit Wars

Logging and account integration, multiplayer integration, automatic timer and resets. Selection cooldown, show all previous canvases, stats page
","",,"Best Razzle Dazzle Hack - Bitcamp, Best Gamification Hack - Bitcamp, Best Moonshot Hack - Bitcamp","css, html5, javascript",,University of Maryland - College Park,1,no
Quarter Portal,https://bitcamp2022.devpost.com/submissions/320958-quarter-portal,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:31:20,"Inspiration

Finding a house off campus already served enough of a challenge. With the added struggle of finding roommates that won't be physical health hazard, it can be very overwhelming to find the best living situation. 

What it does

Every user is given a form regarding what kind of houses they are searching for. They select attributes such as the number of rooms, type of housing, the home's conditions, and more to get a result of houses that match their criteria. What sets it apart from normal sites that have rental listings is the incorporation of matching users with each other based on the similarities between their own search results. 

How we built it

Using Costar's public housing data that they've provided for this hackathon, we utilized that and incorporated it with cockroachdb's system. 

Challenges we ran into

Getting cockroachdb to work seamlessly was the biggest challenge. We've never worked with their systems at all before and trying to migrate from our existing knowledge of sql to postgresql was not as easy as it would seem. This was due to the many nuances between the two that are easily overlooked such as syntax and names of the object attributes when interacting with it through a webpage.

Accomplishments that we're proud of

We're proud of the fact that we were able to collate the data and implement and utilize a database system we had never used before.

What we learned

Incorporating a variety of programming languages and technology stacks together is always a common lesson at most hackathons.

What's next for a

The next step would be incorporating a user profile and allow for users to have more metrics aside from similar search results to be able to match with each other.
","",,"Best Use of Real Estate Data - CoStar Group, Best Use of Data in an Application - Two Six Technologies, Best Use of CockroachDB Serverless - Cockroach Labs","javascript, node.js, express.js, css, postgresql, cockroachdb",,"Rutgers, The State University of New Jersey",1,No
so-basicly,https://bitcamp2022.devpost.com/submissions/320959-so-basicly,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:32:11,"Inspiration

We originally had a different project in mind, but on the morning of the second day of the hackathon, our adventure to South campus for breakfast at Dunkin' Donuts turned into a whole hour of walking back and forth, trying to catch a shuttle (we ended up walking all the way from north campus to south and back). We knew that this was a more relevant problem to solve, so we immediately switched our project to so-basicly

What it does

This application uses data scraped from the Shuttle-UM website (https://transportation.umd.edu/shuttle-um) stored in a SQL database (CockroachDB). The front-end of the application works on the Django framework.

The user can select options from a list of departure and arrival stops and the program uses Dijkstra's algorithm to calculate and display the fastest possible route. The application uses an undirected graph to mimic the stops, with edges being weighted with the time it takes to get from one stop to another.

Challenges we ran into

Unfortunately, the Shuttle-UM website was difficult to scrape because the HTML script wasn't consistent enough for us to be able to use beautiful-soup as well as we would have liked. We did not have enough time to manually enter the data, and therefore could not progress past the data collection point.

What's next for so-basicly

However, we definitely plan on completing this project soon, so that we can use the application ourselves!
",https://github.com/shrads-4/so-basicly,,"Best Social Good Hack - Bitcamp, Best Open Source Hack - Bitcamp, Best Use of CockroachDB Serverless - Cockroach Labs","python, beautiful-soup, cockroachdb, psycopg2",,University of Maryland - College Park,1,""
Squirrel Quest,https://bitcamp2022.devpost.com/submissions/320964-squirrel-quest,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:35:58,"Inspiration

The squirrels on campus were our inspiration because they are constantly dodging obstacles and we wanted to create a game out of that idea.

What it does

This game was inspired by Subway Surfers. Our squirrel moves forward across Mckeldin Mall automatically as well as side to side with a press of the A and D keys. The goal of this game is to get points by collecting Carbies (bread) while avoiding abandoned scooters and spikeball players to reach Testudo.

How we built it

We built it in Glitch using Javascript with the help of HTML and CSS.

Challenges we ran into

The key presses do not work so the squirrels can't move from side to side.

Accomplishments that we're proud of

Creating a semi-working game seeing as we are both beginners with limited coding experience. As well as the cute images.

What we learned

We learned that you can run into errors unexpectedly as well as roadblocks when figuring out how to create a certain feature. Also, we learned that the internet is a good resource for figuring out the problems we have as we code.

What's next for Squirrel Quest

We're going to get the side-to-side keys working. We would also like to display statistics like high score and add sound.
",https://internal-shorthaired-parrotfish.glitch.me/,,"Best Gamification Hack - Bitcamp, Best DIY Hack - Bitcamp, Best First Time Hack - Bitcamp","javascript, html, css, glitch",,University of Maryland - College Park,1,""
UMD Food Planner,https://bitcamp2022.devpost.com/submissions/320965-umd-food-planner,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:38:59,"Inspiration

We like to work out and lift, and nutrition is very important for building muscle. However, UMD’s dining services do not have an obvious way where students can track their nutrition information. Instead, you have to go onto a site that takes multiple steps to actually get to the nutrition information, so we created a solution. 

What it does

Our hack allows students to conveniently look up the nutrition information of umd dining items and plan out their daily meals accordingly, all from your phone.

How we built it

We used python and selenium to build a web scraper for UMD’s daily menu nutrition information to feed to the app. For the actual app, we used flutter, which is an open source development tool created by Google that creates multi-device compatible apps. 

Challenges we ran into

Xcode took 4 hours to download and app development was very difficult because none of us had prior development experience. 

Accomplishments that we're proud of

Our project works decently well. The main pages are all navigable. The webscraper is able to scrape all of the diners and all the meals.

What we learned

App development is much harder than it seems

What's next for UMD Food Planner

We plan to eventually update the UI to be more intuitive and aesthetic, especially on the selection page and the results page. If coronavirus comes back for another wave, we can expand the app to include orders for takeout. 
",https://github.com/aaronl1661/UMDFoodTracker,https://youtube.com/shorts/BZonCYHN74A?feature=share,"Best Use of Data in an Application - Two Six Technologies, Best Moonshot Hack - Bitcamp, Best First Time Hack - Bitcamp","python, flutter, selenium, pandas, csv, xcode",,University of Maryland - College Park,2,""
The Den of Testudo,https://bitcamp2022.devpost.com/submissions/320969-the-den-of-testudo,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:40:41,"Stephen Nguyen was unable to join my team on devpost, but he was my teammate for this project!

Inspiration

Wanted to make a tribute to Testudo. 

What it does

You play as testudo and try to reach a 4.0 GPA. You increase your GPA by collecting little Bitcamp icons. Warning: This game is not easy. 

How we built it

We used a game engine called Godot.
We used the following website to design a lot of game. 
https://godottutorials.pro/how-to-make-games-godot/

Challenges we ran into

Started with zero knowledge on how to build a platformer game.

Accomplishments that we're proud of

Making a game that actually runs and is playable.

What we learned

How to find good resources when you're stuck coding.

What's next for The Den of Testudo

Multiple levels are soon to come.
",https://drive.google.com/drive/folders/18umWsIjfaucWUGiFx1HD9xv2PomRfLc9?usp=sharing,https://youtu.be/Co9b0-E3IMM,"Best Gamification Hack - Bitcamp, Best First Time Hack - Bitcamp",godot,,University of Maryland - College Park,0,No
Ocean Adventure,https://bitcamp2022.devpost.com/submissions/320970-ocean-adventure,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:42:44,"Elevator pitch

Have you ever pond-ered the unknown? Has your adventurous itch ever been unsatisfied, wondering about the porpoise of life? Whale, we’ve got you covered! Introducing Ocean Adventure—an interactive webpage to learn more about the ocean. Scroll around to your heart’s desire to meet some of the world’s most wonderful water life! You won’t want to miss this op-perch-tuna-ty!

Inspiration

For our first hackathon, we decided to create an educational website to teach users about the zones of the ocean and some of the aquatic life that inhabits those zones.

What it does

Ocean Adventure provides the user a unique, interactive experience to explore and navigate the three zones of the ocean, as well as certain species of animals that live there. By scrolling down after clicking start, users can navigate through the deep sea at their own pace and learn about the Surface Zone, Twilight Zone, and the Deep Ocean. Users are also placed in a first-person point of view as they can use their pointer as a flashlight to make the bubbles expand and become more apparent.

How we built it

We built the website using React for the front end and collaborated over Github.

Challenges we ran into

Since this was our first hackathon for the four of us, we had to learn how to effectively use Github and Git to collaborate together on Ocean Adventure. Despite having only one team member with some prior web development experience, our team was able to self teach ourselves and overcome this obstacle.  We also ran into challenges about how to make the website visually appealing, easy to use, and informative at the same time so we went for a clean and simple user interface.

Accomplishments that we're proud of

Our group is most proud of successfully creating our website as well as the experience we have gained from collaborating as a group through Github.  We truly have learned so much about designing a web page in the span of 36 hours.  We are also proud of the way we managed to add a lot of information without making the user interface too cluttered, crafting a minimalistic ocean adventure for our users.

What we learned

We came in with little knowledge about web development and Git, but over the course of the Hackathon, we learned a lot about React and how to collaborate over Github in general.

What's next for Ocean Adventure

In the future, we can add more animations, sea creatures, and locations around the world to explore the mysteries of the true final frontier - Earth's oceans!
","https://github.com/tonywu315/ocean-depths, https://tonywu315.github.io/ocean-depths/",,"Best Educational Hack - Bloomberg, Best ""Bitcamp"" Hack - Bitcamp, Best First Time Hack - Bitcamp","javascript, css, html, react",,"University of Maryland - University College, University of Maryland - College Park",3,No
Get Good Tech,https://bitcamp2022.devpost.com/submissions/320972-get-good-tech,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:44:34,"Inspiration

All of us have had to go through the tedious process of finding a good laptop -- looking at tons of review sites, comparing the dozens of specs that each laptop has to find the best one for our needs. We realized that there was a missing niche for an easy-to-use laptop recommendation system that ranks laptops based on objective measures combined with the users' subjective value assessment, allowing them to Get Good Tech.

What it does

It is a website that, when accessed, displays a minimal interface which gives the user the option to select a price range, as well as rank various laptop factors (e.g. performance, battery quality, etc.) as more or less important. Then we go through our laptop database and find the examples which best fit their criteria. 

How we built it

The data was collected via web scraping from e-tailers and other performance databases and synthesized using Python + Jupyter notebook. The app itself was written in Flask and hosted with Heroku.

Challenges we ran into

None of us had much experience with Flask, so it was a learning experience for all of us. Also, we didn't know the most effective way of getting data about the specs and performance of various laptops, so we spent a significant amount of time exploring multiple avenues for data collection and aggregation there.

Accomplishments that we're proud of

We managed to get a functional product out of it, despite our lack of experience.

What we learned

For one, web apps are hard (even seemingly trivial ones). For two, finding useful resources and APIs can make the difference between a failed hack and a successful one. 

What's next for Get Good Tech

In the future, we hope to expand the feature set as well as use formal API processes and diversify the set of accessed e-tailers.
","http://bitcamp-2022.herokuapp.com, http://getgood.tech",,"Best Use of Data in an Application - Two Six Technologies, Best Domain Name from Domain.com - MLH, Best First Time Hack - Bitcamp","python, flask, jupyter, html, css",,University of Maryland - College Park,2,""
Thirteen Heroes,https://bitcamp2022.devpost.com/submissions/320973-thirteen-heroes,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:46:50,"Inspiration

Inspiration for the making of Thirteen Heroes comes from my desire to show respect for our military using my profession, which is programming video games!

What it does

Users can walk around in a virtual memorial and pay respect to each soldier at their respective casket. The user will receive a poppy flower that they can place for every soldier they pay respect to. Poppy flowers are a symbol of remembrance for fallen U.S. soldiers and originated after World War 1.

How we built it

Thirteen Heroes was built using a game engine called Unreal Engine 4.

Challenges we ran into

The features weren't too challenging to code, but I'd say the most challenging was setting up the headstones and being able to see information about each soldier and view pictures of them.

Accomplishments that we're proud of

What we learned

What's next for Thirteen Heroes
","",https://youtu.be/5q_-APyvstE,"Best Moonshot Hack - Bitcamp, Best Social Good Hack - Bitcamp, Best Open Source Hack - Bitcamp",unreal-engine,,University of Maryland - Baltimore County,0,Yes
Test Project 1,https://bitcamp2022.devpost.com/submissions/320974-test-project-1,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:46:54,"Inspiration

Bitcamp!!!

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Test Project 1
","",,"Best DIY Hack - Bitcamp, Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp ",java,,University of Maryland - College Park,0,Hard to move hack: table 1!
kikudle.moe,https://bitcamp2022.devpost.com/submissions/320976-kikudle-moe,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 08:47:14,"Inspiration

Kikudle (based on the Japanese term ""ヒア"" meaning ""to hear"") is inspired from the trendy internet game Wordle! We wanted to create a fun and intuitive game for anime lovers to test their knowledge and compete with friends.

What it does

In Kikudle, players guess the daily anime based on bits and pieces of the opening theme song. After each guess, they're given hints based on their proximity to the answer, and can guess again right after. Subsequent guesses are easier since the duration of the opening theme is revealed incrementally. 

How we built it

We used Figma to create a quick prototype / mock-up, and developed the game using Next.js, React, HTML, CSS, JavaScript, and Node.js.

Challenges we ran into

The biggest challenge we ran into was making the game fun and fair for all players. We wanted to make sure that the process of guessing was challenging, but not too easy to the point that it wasn't fun. In order to do this, we had to give them certain hints after their guess. It was a challenge to figure out what stats or hints to reveal , but after much deliberation, we came up with a few categories that anime veterans and casuals alike could use to find the answer. 

Accomplishments that we're proud of

We are proud of how we achieved great playability and renewability of our project. We wanted to make sure the game was both fun for the first session, but also something that people would come back to and play daily, just like Wordle! Following the Wordle template, we were able to apply both of these aspects to our game. 

What we learned

We learned many things in the process of making this hack. We improved our web development skills and successfully implemented a searching system for the guessing aspect of the game. We were also able to implement a system of randomly selected opening theme songs so that it is able to be replayed.  

What's next for kikudle.moe

We will continue to expand and improve our product and perhaps expand on Wordle formula. 
","https://kikudle.moe, https://github.com/cf12/kikudle-moe/",https://www.youtube.com/watch?v=TKDb7HhzHBY,"Best ""Bitcamp"" Hack - Bitcamp, Best Domain Name from Domain.com - MLH, Best UI/UX - Bitcamp ","react, node.js, nextjs, html5, css, javascript, figma",,"Montgomery College, University of Maryland - College Park",2,Nope!
Class Finder,https://bitcamp2022.devpost.com/submissions/320995-class-finder,Submitted (Gallery/Visible),Pending,Submit,04/10/2022 09:02:41,"University Life is all about socializing, having fun but most importantly studying towards your goals. Many students prefer to study on their own but find places like libraries already full.

So they would take the best alternate option, classrooms. But when it comes down to classrooms we don't know which class rooms are available, which classrooms are the closest and which ones have a bigger space. 

We Have the solution with Classroom Finder. Its a online Website that lets you find empty classes around the campus, for different time periods making it easier to find your comfort zones for your study needs. We have also implemented a chance to book a classroom of your choice through our web app as to reserve it depending on your needs. 

With this much functionality and support you would be easy to find a classroom for your studies. Even Clubs and societies can get in on this opportunity to reserve rooms for their activities. So come on down and check out our website. We welcome you to the classroom finder.
",https://github.com/Ramareigns/Website-Bitcam22.git,,"Best First Time Hack - Bitcamp, Best UI/UX - Bitcamp , Best Use of CockroachDB Serverless - Cockroach Labs","html5, css3",,"University of Maryland - College Park, None",3,""
